7zip 24.09+dfsg-8
liba52-0.7.4:amd64 0.7.4-20+b3
libaa1:amd64 1.4p5-51.1+b1
libaacs0:amd64 0.11.1-4+b1
libabsl20240722:amd64 20240722.0-4
libabw-0.1-1:amd64 0.1.3-1+b2
libaccountsservice0:amd64 23.13.9-7
libacl1:amd64 2.3.2-2+b1
libadwaita-1-0:amd64 1.7.4-2
libaio1t64:amd64 0.3.113-8+b1
libalgorithm-diff-perl 1.201-1
libalgorithm-diff-xs-perl 0.04-9
libalgorithm-merge-perl 0.08-5
libamd3:amd64 1:7.10.1+dfsg-1
libann0 1.1.2+doc-9+b1
libao-common 1.2.2+20180113-1.2
libao4:amd64 1.2.2+20180113-1.2
libaom3:amd64 3.12.1-1
libapache-pom-java 33-2
libapparmor1:amd64 4.1.0-1
libappstream-glib8:amd64 0.8.3-1
libappstream5:amd64 1.0.5-1
libapt-pkg-perl 0.1.42
libapt-pkg7.0:amd64 3.0.3
libarchive13t64:amd64 3.7.4-4
libargon2-1:amd64 0~20190702+dfsg-4+b2
libasan8:amd64 14.2.0-19
libasound2-data 1.2.14-1
libasound2t64:amd64 1.2.14-1
libaspell15:amd64 0.60.8.1-4
libass9:amd64 1:0.17.3-1+b1
libassuan9:amd64 3.0.2-2
libasyncns0:amd64 0.8-6+b5
libatasmart4:amd64 0.19-5+b2
libatk-bridge2.0-0t64:amd64 2.56.2-1
libatk-wrapper-java 0.40.0-3
libatk-wrapper-java-jni:amd64 0.40.0-3+b3
libatk1.0-0t64:amd64 2.56.2-1
libatkmm-1.6-1v5:amd64 2.28.4-1+b2
libatomic1:amd64 14.2.0-19
libatopology2t64:amd64 1.2.14-1
libatrildocument3t64 1.26.2-4
libatrilview3t64 1.26.2-4
libatspi2.0-0t64:amd64 2.56.2-1
libattr1:amd64 1:2.5.2-3
libaudio2:amd64 1.9.4-9
libaudit-common 1:4.0.2-2
libaudit1:amd64 1:4.0.2-2+b2
libauthen-sasl-perl 2.1700-1
libavahi-client3:amd64 0.8-16
libavahi-common-data:amd64 0.8-16
libavahi-common3:amd64 0.8-16
libavahi-core7:amd64 0.8-16
libavahi-glib1:amd64 0.8-16
libavc1394-0:amd64 0.5.4-5+b2
libavcodec61:amd64 7:7.1.1-1+b1
libavfilter10:amd64 7:7.1.1-1+b1
libavformat61:amd64 7:7.1.1-1+b1
libavif16:amd64 1.2.1-1.2
libavtp0:amd64 0.2.0-2
libavutil59:amd64 7:7.1.1-1+b1
libayatana-appindicator3-1 0.5.94-1
libayatana-ido3-0.4-0:amd64 0.10.4-1
libayatana-indicator3-7:amd64 0.9.4-1+b1
libb-hooks-endofscope-perl 0.28-2
libb-hooks-op-check-perl:amd64 0.22-3+b2
libb2-1:amd64 0.98.1-1.1+b2
libbabeltrace1:amd64 1.5.11-4+b2
libbabl-0.1-0:amd64 1:0.1.114-2
libbdplus0:amd64 0.2.0-4+b1
libbinutils:amd64 2.44-3
libbit-vector-perl:amd64 7.4-3+b3
libblas3:amd64 3.12.1-6
libblkid1:amd64 2.41-5
libblkio1:amd64 1.5.0-2
libblockdev-crypto3:amd64 3.3.0-2.1
libblockdev-fs3:amd64 3.3.0-2.1
libblockdev-loop3:amd64 3.3.0-2.1
libblockdev-mdraid3:amd64 3.3.0-2.1
libblockdev-nvme3:amd64 3.3.0-2.1
libblockdev-part3:amd64 3.3.0-2.1
libblockdev-swap3:amd64 3.3.0-2.1
